Site ID,Rating 5_5_22,Sport Fish Area Boundary,"Area, Region, Quad or City",Road Name,Stream Name,Prioritization,AWCStreamNo,Miles Used for Scoring,MSB Culverts to 16pc Gradient with Green culverts removed ,NHD Miles Data TO NEXT NON-GREEN CULVERT or END,Pre-2022 Miles Data to NEXT BARRIER or END,AWC Miles U/S- ,Acres of Lake,AWC SPECIES at mouth,No of Anadromous Species,Resident AFFI- Needs to be updated.,No of resident species,Red/Gray rating,Rating w/ Perch,Perch height over 1 foot,Perch,latitude,longitude,notes
20300902,Gray,Kenai Peninsula,,Oil Well Road,NULL,1.4,244-20-10090-2030-3015,4.51,,4.51,,,,COr,1,,,0.5,0.5,,,60.05686078,-151.4768801,
20300906,Green,Kenai Peninsula,,Tall Tree Road,NULL,1.3,244-10-10010-2011-3031-4038-5029,1.75,,1.75,,,,"COr,DVr",2,,,0,1,2.41,1,59.87099384,-151.6055751,
20300889,Red,Kenai Peninsula,,Oil Well Road,NULL,1.3,no awc,1.1,,1.1,,,,,,,,1,2,1.34,1,60.0667067,-151.3423,
20300973,Gray,Kenai River Drainage,,Kenai Spur Highway,Unnamed,1.3,244-30-10010-2031,3.83,,3.83,,,,"COr,Kr",2,,,0.5,0.5,,,60.53745966,-151.0841654,
20300905,Green,Kenai Peninsula,,Tall Tree Road,NULL,1.3,244-10-10010-2011-3031-4038-5033-6008,1.64,,1.64,,,,"COsr,DVr",2,,,0,1,3.22,1,59.88104838,-151.5604232,
20303745,Red,Kenai River Drainage,,Private Drive,Unnamed,1.3,244-30-10010-2041,1.85,,1.85,,,,COr,1,,,1,1,,,60.48698,-150.9991,
20300903,Red,Kenai Peninsula,,Oil Well Road,NULL,1.2,244-20-10090-2020,1.78,,1.78,,,,COp,1,,,1,1,,,60.02750824,-151.573336,
20300894,Red,Kenai Peninsula,,Oil Well Road,NULL,1.2,244-20-10100-2019-3018-4009,1.75,,1.75,,,,DVr,1,,,1,1,,,59.99457678,-151.4938679,
20300895,Gray,Kenai Peninsula,,Oil Well Road,NULL,1.1,244-20-10100-2019,2.62,,2.62,,,,"COs,Ks,Pp,DVp",4,,,0.5,0.5,,,60.00979873,-151.3316675,
20303792,Gray,Kenai Peninsula,,Swanson River Access,Stormy Lake Outlet Creek,1,247-90-10020-2002,2.98,,2.98,,,,COsr,1,,,0.5,0.5,,,60.793726,-151.015176,
